protein,n_total,n_with_activity,n_active,n_inactive,pct_active,n_A,n_active_A,n_inactive_A,pct_active_A,n_C,n_active_C,n_inactive_C,pct_active_C
P31645,5753,5753,3108,2645,54.0,871,415,456,47.6,3130,1588,1542,50.7
O60341,6064,6064,1967,4097,32.4,102,52,50,51.0,697,109,588,15.6
P14416,6999,6999,2362,4637,33.7,1198,285,913,23.8,2585,1163,1422,45.0
O14842,5281,5281,2906,2375,55.0,668,292,376,43.7,3311,1873,1438,56.6
Q14416,4197,4197,1570,2627,37.4,787,165,622,21.0,1598,347,1251,21.7
Q99685,12239,12239,6488,5751,53.0,1401,599,802,42.8,6870,3834,3036,55.8
O00519,4040,4040,1780,2260,44.1,974,440,534,45.2,1569,676,893,43.1
O14684,5328,5328,3700,1628,69.4,1085,336,749,31.0,2250,1656,594,73.6
O60674,31649,31649,13781,17868,43.5,5726,1569,4157,27.4,10327,3859,6468,37.4
Q06187,26524,26524,14600,11924,55.0,1881,821,1060,43.6,7476,3510,3966,47.0
P56373,6882,6882,4219,2663,61.3,1592,770,822,48.4,1074,479,595,44.6
P51449,30574,30574,15002,15572,49.1,4046,1554,2492,38.4,11357,4125,7232,36.3
P04150,12366,12366,6655,5711,53.8,3234,1181,2053,36.5,5454,3320,2134,60.9
P10415,12463,12463,10437,2026,83.7,478,150,328,31.4,3538,2504,1034,70.8
P11597,2912,2912,996,1916,34.2,608,138,470,22.7,1188,442,746,37.2
P14902,15524,15524,5915,9609,38.1,3323,1783,1540,53.7,7549,2915,4634,38.6
P28845,12765,12765,3713,9052,29.1,3292,789,2503,24.0,6818,1726,5092,25.3
Q06124,6568,6568,2910,3658,44.3,327,78,249,23.9,1497,836,661,55.8
Q07343,6455,6455,3090,3365,47.9,2526,1164,1362,46.1,1493,838,655,56.1
Q9NYK1,15395,15395,8099,7296,52.6,3529,813,2716,23.0,7198,4105,3093,57.0
P09874,12158,12158,6410,5748,52.7,2491,680,1811,27.3,4988,2592,2396,52.0
Q8NER1,9499,9499,4030,5469,42.4,1837,381,1456,20.7,4102,1788,2314,43.6
Q15910,9840,9840,4950,4890,50.3,334,166,168,49.7,3766,1782,1984,47.3
Q9Y5N1,9017,9017,4829,4188,53.6,1921,757,1164,39.4,5010,2423,2587,48.4
Q9Y5Y4,9653,9653,3862,5791,40.0,1593,650,943,40.8,5233,1424,3809,27.2
P35408,5723,5723,2311,3412,40.4,1149,361,788,31.4,2043,689,1354,33.7
P32245,3227,3227,1972,1255,61.1,418,169,249,40.4,1778,1180,598,66.4
Q15761,802,802,508,294,63.3,207,60,147,29.0,453,335,118,74.0
P20292,11167,11167,5301,5866,47.5,429,185,244,43.1,2581,1278,1303,49.5
Q00987,7440,7440,5358,2082,72.0,593,131,462,22.1,1787,1370,417,76.7
P01375,12639,12639,2441,10198,19.3,8668,1768,6900,20.4,2853,147,2706,5.2
P40763,2529,2529,459,2070,18.1,1851,415,1436,22.4,293,25,268,8.5
Q16236,2837,2837,1207,1630,42.5,1573,544,1029,34.6,755,379,376,50.2
O43613,8083,8083,3989,4094,49.4,430,193,237,44.9,1830,804,1026,43.9
O75874,9820,9820,2721,7099,27.7,504,74,430,14.7,2057,329,1728,16.0
P03372,12476,12476,8193,4283,65.7,1267,685,582,54.1,4571,2880,1691,63.0
P23458,26608,26608,15509,11099,58.3,3573,1412,2161,39.5,7832,4001,3831,51.1
P22681,1020,1020,536,484,52.5,1020,536,484,52.5,0,0,0,0.0
Q9NPF7,1671,1671,457,1214,27.3,1671,457,1214,27.3,0,0,0,0.0
Q695T7,1019,1019,220,799,21.6,1019,220,799,21.6,0,0,0,0.0
Q9NZC2,886,886,347,539,39.2,886,347,539,39.2,0,0,0,0.0
P97801,494,494,227,267,46.0,494,227,267,46.0,0,0,0,0.0
Q96LA9,537,537,126,411,23.5,537,126,411,23.5,0,0,0,0.0
Q9JHI9,701,701,219,482,31.2,701,219,482,31.2,0,0,0,0.0
P9WP37,292,292,111,181,38.0,292,111,181,38.0,0,0,0,0.0
P04198,278,278,61,217,21.9,278,61,217,21.9,0,0,0,0.0
Q62386,241,241,121,120,50.2,241,121,120,50.2,0,0,0,0.0
O70325,597,597,121,476,20.3,597,121,476,20.3,0,0,0,0.0
