protein,n_harvest_compounds,n_harvest_only_compounds,n_harvest_overlap_compounds,n_bdb_compounds,n_bdb_only_compounds,n_bdb_overlap_compounds,n_compound_overlap,Protein Name,gene_symbol,l1,l2,l3,source
P31645,4375.0,3158,1217.0,5738.0,4387.0,1351.0,2568.0,Sodium-dependent serotonin transporter,SLC6A4,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,overlap
O60341,3976.0,613,3363.0,5878.0,2413.0,3465.0,6828.0,Lysine-specific histone demethylase 1A,KDM1A,Epigenetic regulator,Eraser,Lysine demethylase,overlap
P14416,4742.0,2642,2100.0,10646.0,8345.0,2301.0,4401.0,D(2) dopamine receptor,DRD2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),overlap
O14842,3713.0,2911,802.0,2474.0,1693.0,781.0,1583.0,Free fatty acid receptor 1,FFAR1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),overlap
Q14416,2928.0,1876,1052.0,2523.0,1381.0,1142.0,2194.0,Metabotropic glutamate receptor 2,GRM2,Membrane receptor,Family C G protein-coupled receptor,Small molecule receptor (family C GPCR),overlap
Q99685,8048.0,4964,3084.0,4145.0,1194.0,2951.0,6035.0,Monoglyceride lipase,MGLL,Enzyme,Hydrolase,,overlap
O00519,3208.0,2085,1123.0,2621.0,1592.0,1029.0,2152.0,Fatty-acid amide hydrolase 1,FAAH,Enzyme,Hydrolase,,overlap
O14684,3494.0,2332,1162.0,2020.0,1028.0,992.0,2154.0,Prostaglandin E synthase,PTGES,Enzyme,Isomerase,,overlap
O60674,22317.0,11332,10985.0,17380.0,5758.0,11622.0,22607.0,Tyrosine-protein kinase JAK2,JAK2,Enzyme,Kinase,Protein Kinase,overlap
Q06187,15334.0,6628,8706.0,13281.0,4430.0,8851.0,17557.0,Tyrosine-protein kinase BTK,BTK,Enzyme,Kinase,Protein Kinase,overlap
P56373,4305.0,1781,2524.0,5291.0,2199.0,3092.0,5616.0,P2X purinoceptor 3,P2RX3,Ion channel,Ligand-gated ion channel,P2X receptor,overlap
P51449,17836.0,10009,7827.0,11951.0,4013.0,7938.0,15765.0,Nuclear receptor ROR-gamma,RORC,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,overlap
P04150,8543.0,6277,2266.0,3961.0,2055.0,1906.0,4172.0,Glucocorticoid receptor,NR3C1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,overlap
P10415,5265.0,2314,2951.0,4778.0,1719.0,3059.0,6010.0,Apoptosis regulator Bcl-2,BCL2,Ion channel,Other ion channel,Miscellaneous ion channel,overlap
P11597,1980.0,1351,629.0,1421.0,851.0,570.0,1199.0,Cholesteryl ester transfer protein,CETP,Ion channel,Other ion channel,Pore-forming toxins (proteins and peptides),overlap
P14902,9314.0,7106,2208.0,4489.0,2615.0,1874.0,4082.0,"Indoleamine 2,3-dioxygenase 1",IDO1,Enzyme,Oxidoreductase,,overlap
P28845,8349.0,6799,1550.0,3277.0,1786.0,1491.0,3041.0,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,Enzyme,Oxidoreductase,,overlap
Q06124,4180.0,1342,2838.0,4526.0,1497.0,3029.0,5867.0,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,Enzyme,Phosphatase,Protein Phosphatase,overlap
Q07343,4741.0,3213,1528.0,4494.0,2947.0,1547.0,3075.0,"3',5'-cyclic-AMP phosphodiesterase 4B",PDE4B,Enzyme,Phosphodiesterase,Phosphodiesterase 4,overlap
Q9NYK1,11613.0,8514,3099.0,5895.0,2846.0,3049.0,6148.0,Toll-like receptor 7,TLR7,Membrane receptor,Toll-like and Il-1 receptors,,overlap
P09874,7492.0,4813,2679.0,5184.0,2710.0,2474.0,5153.0,Poly [ADP-ribose] polymerase 1,PARP1,Enzyme,Transferase,,overlap
Q8NER1,6873.0,4779,2094.0,4268.0,2112.0,2156.0,4250.0,Transient receptor potential cation channel subfamily V member 1,TRPV1,Ion channel,Voltage-gated ion channel,Transient receptor potential channel,overlap
Q15910,4685.0,2324,2361.0,3049.0,836.0,2213.0,4574.0,Histone-lysine N-methyltransferase EZH2,EZH2,Epigenetic regulator,Writer,Protein methyltransferase,overlap
Q9Y5N1,7078.0,5721,1357.0,4253.0,3199.0,1054.0,2411.0,Histamine H3 receptor,HRH3,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),overlap
Q9Y5Y4,6268.0,4491,1777.0,3501.0,1584.0,1917.0,3694.0,Prostaglandin D2 receptor 2,PTGDR2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),overlap
P35408,3718.0,1928,1790.0,2746.0,907.0,1839.0,3629.0,Prostaglandin E2 receptor EP4 subtype,PTGER4,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),overlap
P32245,2251.0,1580,671.0,3580.0,2889.0,691.0,1362.0,Melanocortin receptor 4,MC4R,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),overlap
Q15761,425.0,337,88.0,1372.0,1266.0,106.0,194.0,Neuropeptide Y receptor type 5,NPY5R,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),overlap
P20292,3744.0,1422,2322.0,2298.0,263.0,2035.0,4357.0,Arachidonate 5-lipoxygenase-activating protein,ALOX5AP,Other cytosolic protein,,,overlap
Q00987,5177.0,2009,3168.0,5473.0,1830.0,3643.0,6811.0,E3 ubiquitin-protein ligase Mdm2,MDM2,Other nuclear protein,,,overlap
P01375,9147.0,8183,964.0,2790.0,1618.0,1172.0,2136.0,Tumor necrosis factor,TNF,Secreted protein,,,overlap
P40763,1832.0,1604,228.0,1511.0,1266.0,245.0,473.0,Signal transducer and activator of transcription 3,STAT3,Transcription factor,,,overlap
Q16236,1995.0,1620,375.0,1090.0,763.0,327.0,702.0,Nuclear factor erythroid 2-related factor 2,NFE2L2,Transcription factor,,,overlap
O43613,6376.0,1953,4423.0,7623.0,3164.0,4459.0,8882.0,Orexin/Hypocretin receptor type 1,HCRTR1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),overlap
O75874,4524.0,1259,3265.0,5046.0,1238.0,3808.0,7073.0,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,Enzyme,Oxidoreductase,,overlap
P03372,5739.0,3911,1828.0,5879.0,4258.0,1621.0,3449.0,Estrogen receptor,ESR1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,overlap
P23458,18750.0,8709,10041.0,14418.0,3734.0,10684.0,20725.0,Tyrosine-protein kinase JAK1,JAK1,Enzyme,Kinase,Protein Kinase,overlap
P22681,,1020,,,,,,E3 ubiquitin-protein ligase CBL,CBL,Enzyme,Transferase,,new
Q9NPF7,,842,,,,,,Interleukin-23 subunit alpha,IL23A,Secreted protein,,,new
Q695T7,,184,,,,,,Sodium-dependent neutral amino acid transporter B(0)AT1,SLC6A19,Unclassified protein,,,new
Q9NZC2,,429,,,,,,Triggering receptor expressed on myeloid cells 2,TREM2,Unclassified protein,,,new
P97801,,494,,,,,,Survival motor neuron protein,Smn1,Unclassified protein,,,new
Q96LA9,,537,,,,,,Mas-related G-protein coupled receptor member X4,MRGPRX4,Membrane receptor,Family A G protein-coupled receptor,,new
Q9JHI9,,701,,,,,,Ferroportin,Slc40a1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,new
